date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:16	27953/27953	---M-Z	200	added ('OK')	text/html	etag:%226d31-5b01b4910da00-gzip%22	https://preview.colorlib.com/theme/studylab/	D:/Apps/sts/preview.colorlib.com/theme/studylab/index.html	(from )
12:13:16	283/283	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Nov%202020%2006:43:14%20GMT	https://preview.colorlib.com/robots.txt		(from )
12:13:18	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	D:/Apps/sts/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/studylab/)
12:13:18	73641/73641	---M-Z	200	added ('OK')	text/css	etag:%2211fa9-5b01b498aec00-gzip%22	https://preview.colorlib.com/theme/studylab/css/animate.css	D:/Apps/sts/preview.colorlib.com/theme/studylab/css/animate.css	(from https://preview.colorlib.com/theme/studylab/)
12:13:19	3440/3440	---M-Z	200	added ('OK')	text/css	etag:%22d70-5b01b49b8b2c0-gzip%22	https://preview.colorlib.com/theme/studylab/css/owl.carousel.min.css	D:/Apps/sts/preview.colorlib.com/theme/studylab/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/studylab/)
12:13:19	965/965	---M-Z	200	added ('OK')	text/css	etag:%223c5-5b01b49b8b2c0-gzip%22	https://preview.colorlib.com/theme/studylab/css/owl.theme.default.min.css	D:/Apps/sts/preview.colorlib.com/theme/studylab/css/owl.theme.default.min.css	(from https://preview.colorlib.com/theme/studylab/)
12:13:20	6950/6950	---M-Z	200	added ('OK')	text/css	etag:%221b26-5b01b49a97080-gzip%22	https://preview.colorlib.com/theme/studylab/css/magnific-popup.css	D:/Apps/sts/preview.colorlib.com/theme/studylab/css/magnific-popup.css	(from https://preview.colorlib.com/theme/studylab/)
12:13:21	17945/17945	---M-Z	200	added ('OK')	text/css	etag:%224619-5b01b498aec00-gzip%22	https://preview.colorlib.com/theme/studylab/css/bootstrap-datepicker.css	D:/Apps/sts/preview.colorlib.com/theme/studylab/css/bootstrap-datepicker.css	(from https://preview.colorlib.com/theme/studylab/)
12:13:22	1588/1588	---M-Z	200	added ('OK')	text/css	etag:%22634-5b01b49a97080-gzip%22	https://preview.colorlib.com/theme/studylab/css/jquery.timepicker.css	D:/Apps/sts/preview.colorlib.com/theme/studylab/css/jquery.timepicker.css	(from https://preview.colorlib.com/theme/studylab/)
12:13:22	1356/1356	---M-Z	200	added ('OK')	text/css	etag:%2254c-5b01b499a2e40-gzip%22	https://preview.colorlib.com/theme/studylab/css/flaticon.css	D:/Apps/sts/preview.colorlib.com/theme/studylab/css/flaticon.css	(from https://preview.colorlib.com/theme/studylab/)
12:13:23	27953/27953	---M-Z	200	added ('OK')	text/html	etag:%226d31-5b01b4910da00-gzip%22	https://preview.colorlib.com/theme/studylab/index.html	D:/Apps/sts/preview.colorlib.com/theme/studylab/index-2.html	(from https://preview.colorlib.com/theme/studylab/)
12:13:24	275294/275294	---M-Z	200	added ('OK')	text/css	etag:%224335e-5b01b49d73740-gzip%22	https://preview.colorlib.com/theme/studylab/css/style.css	D:/Apps/sts/preview.colorlib.com/theme/studylab/css/style.css	(from https://preview.colorlib.com/theme/studylab/)
12:13:25	18216/18216	---M-Z	200	added ('OK')	text/html	etag:%224728-5b01b48d3d100-gzip%22	https://preview.colorlib.com/theme/studylab/about.html	D:/Apps/sts/preview.colorlib.com/theme/studylab/about.html	(from https://preview.colorlib.com/theme/studylab/)
